Date,Withdrawls,Total,Yes,No
2022-04,35019.95,17,13,4
2022-05,32265.0,21,19,2
2022-06,100978.75,53,44,9
2022-07,157957.93999999997,92,55,37
2022-08,98684.19999999998,83,53,30
2022-09,64422.0,61,27,34
2022-10,105137.79999999999,52,16,36
2022-11,54925.77,99,57,42
2022-12,67306.29000000001,125,81,44
2023-01,49911.479999999996,109,84,25
2023-02,91862.56,73,53,20
2023-03,56029.06,59,49,10
